,web-scraper-order,Brand,Name,Model,Price,Average_Rating,Reviews,BatteryCapacity,Charging,Torch,Games,Messaging,Browser,Audio,Sensor,Data,NFC,USB,GPS,Bluetooth,WLAN,Front,Main,card,Built-In,Features,Protection,Resolution,Size,Technology,GPU,Chipset,CPU,4G Band,3G Band,2G Band,Color,SIM,Weight,Dimension,UI Build,Operating System,Unnamed: 42,as,Links-href,Name.1,Name-href,Avg_Rating,AverageRating,score
44,1541194173-974,Apple iphone,"Apple
iphone 6",iphone 6,381,4.6 stars,1259.0,,up to 50 hrs,Yes,built-in + downloadable,"iMessage, SMS (threaded view), MMS, Email, Push Email",HTML (Safari),"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSDPA, 42 Mbps; HSUPA, 5.76 Mbps), 4G LTE",Yes,Yes,Yes + A-GPS support & Glonass,v4.0 with A2DP,,"1.2 MP, 720p, burst, HDR","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi hotspot",,,,,750 x 1334 pixels (~326 ppi pixel density),4.7 Inches,,PowerVR GX6650 (hexa-core graphics),Apple A8,,LTE 700 / 850 / 900 / 1800 / 1900 / 2100 / 2600,HSDPA 850 / 900 / 1700 / 1900 / 2100,,"Space Gray, White/Silver, Gold",Single SIM (Micro-SIM),129 g,138.1 x 67 x 6.9 mm,,iOS 8,,,https://www.whatmobile.com.pk/Nokia_Mobiles_Prices,"Nokia
E72",https://www.whatmobile.com.pk/Nokia_E72,4.6,4.6,4.290768375336244
337,1541194111-973,Apple iphone,"Apple
iphone 6 Plus",iphone 6 Plus,,5 stars,532.0,,,,,,,,,,,,,,,,,,,,,,"1080 x 1920 pixels, 5.5 inches (~401 ppi pixel density)
Fingerprint sensor (Touch ID)
Sensors: Accelerometer, gyro, proximity, compass, barometer",HTML (Safari),"1.4 Dual-Core GHz Cyclone (ARM v8-based), Apple A8, GPU PowerVR GX6650 (hexa-core graphics)",,,LTE 700 / 850 / 900 / 1800 / 1900 / 2100 / 2600,,"Bluetooth v4.0 with A2DP, USB, WLAN (Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi hotspot), GPRS, EDGE, 3G (HSDPA, 42 Mbps; HSUPA, 5.76 Mbps), 4G (LTE, Cat4, 150 Mbps DL, 50 Mbps UL)","Space Gray, Silver, Gold",,172 g,,,58.1 x 77.8 x 7.1 mm,,,,,,5,5.0,4.277362804878041
910,1541228377-34,Samsung Mobile,"Samsung
Galaxy Note 5",Galaxy Note 5,29,4.6 stars,1143.0,,- Wireless charging (Qi/PMA) - market dependent,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/DivX/XviD/WMV/H.264 player, MP3/WAV/WMA/eAAC+/FLAC player, 24-bit/192kHz audio, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat6 300/50 Mbps/ LTE Cat9 450/50 Mbps)",Yes,"microUSB v2.0, USB Host",Yes + A-GPS support & Glonass,"v4.2, A2DP, EDR, LE",,"5.0 MP, 1/4.1"" sensor size, 1.34 Âµm pixel size, f/1.9, 22mm, 1440p@30fps, dual video call, Auto HDR","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,,,Corning Gorilla Glass 4,1440 x 2560 Pixels (~515 PPI),5.7 Inches,,Mali-T760MP8,Exynos 7420 Octa,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)",HSDPA 850 / 900 / 1900 / 2100,,"Black Sapphire, Gold Platinum, Silver Titan, White Pearl",Single SIM (Nano-SIM),171 g,153.2 x 76.1 x 7.6 mm,,,,,,,,4.6,4.6,4.266965542913553
796,1541163969-459,Microsoft Mobile,"Microsoft
Lumia 535 Dual Sim",Lumia 535 Dual Sim,0,4.4 stars,2201.0,,Up to 60 hrs,Yes,Built-in,"SMS (threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE (Up to 236.8 kbps), 3G (HSDPA, 42.2 Mbps; HSUPA, 5.76 Mbps)",No,microUSB v2.0,Yes + A-GPS support & Glonass,v4.0 with A2DP,,5 MP,"Wi-Fi 802.11 b/g/n, DLNA, Wi-Fi hotspot",,,,Corning Gorilla Glass 3,540 x 960 pixels (~220 ppi pixel density),5.0 inches,,Adreno 302,Qualcomm Snapdragon 200,,,HSDPA 900 / 2100,,"Orange, green, white, black, gray, blue",Dual-SIM,146 g,140.2 x 72.4 x 8.8 mm,,Microsoft Windows Phone 8.1,,,,,,4.4,4.4,4.232716207863831
436,1541174392-653,Sony,"Sony
Xperia Z3",Xperia Z3,0,5 stars,478.0,,,Yes,built-in + downloadable,"SMS (threaded view), MMS, Email, IM, Push Email",HTML5,3.5mm audio jack,,"GPRS Up to 107 kbps, EDGE Up to 296 kbps, 3G (HSDPA, 42 Mbps; HSUPA, 5.8 Mbps), 4G (LTE, Cat4, 50 Mbps UL, 150 Mbps DL)",Yes,"microUSB v2.0 (MHL 3), USB On-the-go, USB Host",Yes + A-GPS support & Glonass,v4.0 with A2DP,,"2.2 MP, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, Wi-Fi hotspot",,,Triluminos display,,1080 x 1920 pixels (~424 ppi pixel density),5.2 inches,,Adreno 330,Qualcomm MSM8974AC Snapdragon 801,,LTE 700 / 800 / 1700 / 1800 / 2600,HSDPA 850 / 900 / 1700 / 1900 / 2100,,"Black, White, Copper, Silver Green",,152 g,146 x 72 x 7.3 mm,,"Android OS, v4.4.4 (KitKat)",,,,,,5,5.0,4.231017901627939
933,1541228451-45,Samsung Mobile,"Samsung
Galaxy J5 Prime",Galaxy J5 Prime,,5 stars,468.0,,,,,,,,,,,,,,,,,,,,,,"5.0 Inches, 720 x 1280 pixels (~294 ppi pixel density)

Sensors: Accelerometer, proximity, Fingerprint",HTML5,,,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)",,"Bluetooth v4.2, A2DP, LE, USB (microUSB v2.0, USB On-The-Go), WLAN (Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot), GPRS, EGDE, 3G HSPA, 4G (LTE Cat4 150/50 Mbps)","Black, Gold","Sim1: GSM 850 / 900 / 1800 / 1900

SIM2: GSM 850 / 900 / 1800 / 1900",143g,,,142.8 x 69.5 x 8.1 mm,,,,,,5,5.0,4.221775328330198
963,1541228266-21,Samsung Mobile,"Samsung
Galaxy S6 Edge",Galaxy S6 Edge,,4.5 stars,1207.0,,,,,,,,,,,,,,,,,,,,,,"5.1 inches (~72.0% screen to body ratio), 1440 x 2560 pixels (~576 ppi pixel density)

Sensors: Accelerometer, gyro, proximity, compass, barometer, gesture, heart rate",HTML5,"1.5 GHz Quad-Core Cortex-A53 + 2.1 GHz Quad-Core Cortex-A57, Exynos 7420

GPU: Mali-T760",,,LTE,,"Bluetooth  v4.0 with A2DP, LE, apt-X, USB (microUSB v2.0 (MHL 3 TV-out), USB Host), WLAN (Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat6 300/50 Mbps)","White Pearl, Black Sapphire, Gold Platinum, Green Emerald",,132 g,,,142.1 x 70.1 x 7 mm,,,,,,4.5,4.5,4.203702783686012
950,1541228295-24,Samsung Mobile,"Samsung
Galaxy S6",Galaxy S6,,4.5 stars,1172.0,,,,,,,,,,,,,,,,,,,,,,"1440 x 2560 pixels, 5.1 inches (~70.7% screen to body ratio) (~554 ppi pixel density)

Sensors: Accelerometer, gyro, proximity, compass, barometer, gesture, heart rate",HTML5,"1.5 Quad-Core GHz Cortex-A53, 2.1 GHz Quad-Core Cortex-A57, Exynos 7420

GPU: Mali-T760",,,LTE,,"Bluetooth  v4.0 with A2DP, LE, apt-X, USB (microUSB v2.0 (MHL 3 TV-out), USB Host), WLAN (Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat6 300/50 Mbps)","White Pearl, Black Sapphire, Gold Platinum, Blue Topaz",,138 g,,,143.4 x 70.5 x 6.8 mm,,,,,,4.5,4.5,4.19695121951219
628,1541164049-470,HTC,"HTC
One M8",One M8,0,5 stars,432.0,,Up to 14 h,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS, EDGE, 3G (HSDPA, 42 Mbps (21 Mbps - AT&T), HSUPA, 5.76 Mbps;), 4G (LTE, Cat4, 50 Mbps UL, 150 Mbps DL)",Yes,"microUSB v2.0 (MHL), USB On-the-go, USB Host",Yes + A-GPS support & Glonass,v4.0 with A2DP,,"5 MP (1080p@30fps), HDR","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, Wi-Fi hotspot",,,,Corning Gorilla Glass 3,1080 x 1920 pixels (~441 ppi pixel density),5.0 inches,,Adreno 330,Qualcomm MSM8974AB Snapdragon 801,,LTE 700 / 900 / 1800 / 2100 / 2600,HSDPA 850 / 900 / 1900 / 2100,,"Gunmetal Gray, Glacial Silver, Amber Gold",,160 g,146.4 x 70.6 x 9.4 mm,,"Android OS, v4.4.2 (KitKat)",,,,,,5,5.0,4.186579237651665
1030,1541231338-254,Nokia,"Nokia
3",3,142,4.8 stars,571.0,"Price in Rs: 16,400    Price in USD: $142",,Yes,Built-in + Downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack,  MP4/H.264 player, MP3/WAV/eAAC+/FLAC player, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)",Yes,"microUSB v2.0, USB On-The-Go",Yes + A-GPS support,v4.2 with A2DP,,"8 MP, f/2.0, autofocus",,,"8 MP, autofocus, LED flash",,Corning Gorilla Galss (unspecified version),720 x 1280 pixels (~294 PPI pixel density),5.0 Inches,,Mali-T720MP2,Mediatek MT6737,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)",HSDPA 850 / 900 / 1900 / 2100,,"Silver White, Matte Black, Tempered Blue, Copper White",Dual Sim (Mini-SIM),,143.4 x 71.4 x 8.5 mm,,Android OS 7.0 (Nougat),,,,,,4.8,4.8,4.185365853658529
1041,1541231310-250,Nokia,"Nokia
230",230,71,5 stars,430.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, IM",WAP 2.0/xHTML,,,"GPRS Up to 85.6 kbps, EDGE Up to 236.8 kbps",No,microUSB v1.1,No,v3.0 with A2DP,,"2.0 MP Camera, LED flash",,,,,,240 x 320 pixels (~143 ppi pixel density),2.8 Inches,,,,,,,,"Black, White","Mini SIM, Dual Standby",91.8 g,,,,,,,,,5,5.0,4.184530318854817
1006,1541230559-186,OPPO Mobile,"Oppo
A37",A37,,4.5 stars,1093.0,,,,,,,,,,,,,,,,,,,,,,"5.0 Inches, 720 x 1280 pixels

Sensors: Accelerometer, proximity, compass",HTML5,"1.2 GHz Quad-Core Cortex-A53, Qualcomm MSM8916 Snapdragon 410

GPU: Adreno 306",,,LTE,,"Bluetooth v4.0, A2DP, EDR, USB (microUSB v2.0, USB Host), WLAN (Wi-Fi 802.11 b/g/n, hotspot, GPRS, EDGE, 3G HSPA, LTE",Various,"SIM1: GSM 850 / 900 / 1800 / 1900

SIM2: GSM 850 / 900 / 1800 / 1900",136g,,,143.1 x 71 x 7.7mm,,,,,,4.5,4.5,4.180519610961376
916,1541228198-12,Samsung Mobile,"Samsung
Galaxy S7 Edge",Galaxy S7 Edge,,4.5 stars,1047.0,,,,,,,,,,,,,,,,,,,,,,"5.5 inches, 1440 x 2560 pixels (~534 ppi pixel density)

Sensors: Accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2, Fingerprint (front-mounted)",HTML5,"Quad-core (2 x 2.15 GHz Kryo + 2 x 1.6 GHz Kryo)
, Qualcomm MSM8996 Snapdragon 820

GPU: Adreno 530

Octa-core (4 x 2.3 GHz Mongoose + 4 x 1.6 GHz Cortex-A53), Exynos 8890 Octa

GPU: Mali-T880 MP12",,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",,"Bluetooth v4.2 with A2DP, LE, apt-X, USB (microUSB v2.0, USB Host), NFC, WLAN (Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat9 450/50 Mbps)","Black, White, Gold, Silver, Pink Gold, Black Pearl, Coral Blue",,157 g,,,150.9 x 72.6 x 7.7 mm,,,,,,4.5,4.5,4.170104233288962
871,1541180443-750,QMobile,"QMobile
Noir A900",Noir A900,0,4.3 stars,2461.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm audio jack, Speakerphone",,"GPRS Class 12, EDGE Class 12, 3G",No,Yes,Yes + A-GPS support,v4.0 with A2DP,,"(2MP, Full HD)",,,"Wi-Fi 802.11 b/g/n, Wi-Fi hotspot",,,720 x 1280 pixels,4.7 inches,"4 GB built-in, 1 GB RAM",(PowerVR Series5XT),,"IPS Retina HD touchscreen, 16.7M colors, Multitouch",,WCDMA (900 / 2100),,Black,"Dual-SIM, Micro-SIM",,137 X 68 X 7.9 mm,,"Android OS, v4.2 Jelly bean

OTA (Over-The-Air Updates)",,,,,,4.3,4.3,4.160997194042734
924,1541228231-16,Samsung Mobile,"Samsung
Galaxy A7 2016",Galaxy A7 2016,0,5 stars,401.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/WMV/H.264 player, MP3/WAV/WMA/eAAC+/FLAC player, Speaker Phone",,"GPRS, EGDE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE-A Cat6 300/50 Mbps)",Yes,microUSB v2.0,Yes + A-GPS support & Glonass,"v4.1 with A2DP, LE, EDR",,"5.0 MP, f/1.9, 24mm, 1080p","Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot",,,,Corning Gorilla Glass 4,1080 x 1920 pixels (~401 ppi pixel density),5.5 Inches,,Mali-T720MP2,Exynos 7580 Octa,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",HSDPA 850 / 900 / 1900 / 2100,,"Black, White, Gold, Pink","Dual SIM, Dual Standby, Nano-SIM",172 g,151.5 x 74.1 x 7.3 mm,,,,,,,,5,5.0,4.153617089112059
1074,1541230853-214,Nokia,"Nokia
XL",XL,0,4.3 stars,1883.0,,,Yes,built-in,"SMS (threaded view), MMS, Email, Push Email, IM",HTML,"3.5mm audio jack, Speakerphone",,"GPRS, 3G",No,microUSB v2.0,Yes,v3.0 with A2DP,,2MP,,,,,,480 x 800 pixels,5.0 inches,,Adreno 203,Qualcomm MSM8225 Snapdragon S4 Play,,,HSDPA 900 / 2100,,Various,"Dual-SIM, Mini-SIM",190 g,141.3 x 77.7 x 10.8mm,,"Nokia X 1.0 (based on Android OS, v4.1.2 Jelly Bean)",,,,,,4.3,4.3,4.1252412430666325
997,1541230662-200,OPPO Mobile,"Oppo
F5",F5,276,4.7 stars,571.0,"Price in Rs: 31,899    Price in USD: $276",,Yes,Built-in + Downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/H.264/FLAC player, MP3/eAAC+/WAV player, Speaker Phone",,"GPRS, Edge, 3G HSPA, 4G LTE",Yes,"microUSB 2.0, USB On-The-Go",Yes + A-GPS support,"v4.2 with A2DP, LE",,"20 MP with Artifical Intellegence, f/2.0, 1/2.8",,,,,Corning Gorilla Glass 5,1080 x 2160 Pixels (~402 PPI),6.0 Inches,"LTPS IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch",Mali-G71 MP2,MediaTek Helio P23,2.5 GHz Octa Core,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)",HSDPA 850 / 900 / 2100,"SIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900","Black, Gold, Red","Dual Sim, Dual Standby (Nano-SIM)",152 g,156.5 x 76 x 7.5 mm,Color OS 3.2,Android v7.1.2 Nougat,,,,,,4.7,4.7,4.124296334941952
